Created date,Case Type,Subtype,Reason,Customer reply count,Source,Ticket ID,Agent name,Subject
2020-08-23 9:51:40 AM,Shipping / Delivery,Shipping Details,Delivery Window,1,email,8491,M. V.,CZU Complex Fires
2020-08-23 10:42:59 AM,Technical Issues,Network,WiFi Antenna,7,email,8492,A. S. ,Classes won't start
2020-08-23 11:56:39 AM,Technical Issues,Network,WiFi Antenna,5,chat,8495,M. V.,Tempo Support
2020-08-23 12:08:02 PM,Cancellations / Returns,Cancel Request,Canceled: Refused to State,0,email,8496,L. R.,Oder cancellation
2020-08-23 12:11:35 PM,Technical Issues,Network,Buffering,4,phone,8497,J. M.,VIP Order
2020-08-23 3:15:15 PM,Cancellations / Returns,Cancel Request,Canceled: Refused to State,1,email,8503,L. R.,Cancel order
2020-08-23 4:09:19 PM,Shipping / Delivery,Shipping Details,Tracking Information,1,email,8506,M. V.,Order #266af768
2020-08-23 5:13:11 PM,Shipping / Delivery,Shipping Details,Delivery Overview,2,email,8510,N. D.,Lead Time
2020-08-23 8:41:37 PM,Cancellations / Returns,Cancel Request,Canceled: Refused to State,1,email,8517,L. R.,Re: Your receipt from Tempo
2020-08-24 6:49:15 AM,Cancellations / Returns,Cancel Request,Canceled: Refused to State,1,email,8528,L. R.,Order number 8149defa
2020-08-24 8:08:25 AM,Shipping / Delivery,Delivery Issues,Missed Delivery,2,email,8536,D. W.,order status
2020-08-24 9:14:05 AM,Shipping / Delivery,Delivery Issues,WGS Fail,9,email,8544,A. W. ,Re: Your receipt from Tempo
2020-08-24 9:49:34 AM,Shipping / Delivery,Shipping Details,Delivery Window,1,email,8550,D. W.,Order Number 4da27ab0
2020-08-24 10:09:54 AM,Shipping / Delivery,Change Request,Color Change,0,chat,8552,L. R.,Conversation with User
2020-08-24 12:21:55 PM,Shipping / Delivery,Change Request,Address Change,1,email,8561,L. R.,Order
2020-08-24 1:23:07 PM,Cancellations / Returns,Cancel Request,Canceled: Changes to Living Situation,0,email,8565,L. R.,Cancel Order
